1;132/39;46;46,58;8,9;
2;325/24;;;10,20;
3;447/26;;22,23;4,11,12;
4;520/21;;;3,13;
5;822/27;;;15,16;
6;914/28;;;7,29;
7;1008/31;;42;6,17;
8;96/81;;;1,18,19;
9;171/85;;;1,19,20;
10;386/80;;;2,11,21,34;
11;444/91;;;3,10,22;
12;489/82;;;3,23;
13;576/77;46,67,89;14,23,52;4,14,23,24;
14;664/60;;13,15;13,15,25;
15;754/49;;14,29,41;5,14,16,26,28;
16;841/81;;;5,15,28,29;
17;1002/108;;;7,29,30;
18;51/117;;;8,31,43;
19;120/125;;;8,9,32;
20;211/106;;;2,9,33;
21;301/141;;;10,33;
22;446/156;;3,23,34,65;11,23,34,35;
23;518/119;;3,13,22,67;12,13,22,37;
24;630/119;;;13,37,38;
25;677/132;;;14,38,39;
26;750/78;;;15,27,39;
27;763/121;;;26,28,40;
28;795/105;;;15,16,27,41;
29;917/131;;15,41,42,55;6,16,17,41,42;
30;1034/123;;;17,42;
31;80/151;;;18,43,44;
32;180/175;;;19,33,44,45;
33;260/163;;;20,21,32,46;
34;392/177;;22,46,63;10,22,47,48;
35;469/195;;;22,36,48,65;
36;501/203;;;35,37,49;
37;553/158;;;23,24,36,50;
38;654/162;;;24,25,50,51;
39;700/153;;;25,26,51,52;
40;780/184;;;27,41,52,53;
41;815/171;;15,29,52,87;28,29,40,54;
42;1006/172;;7,29,72;29,30,56,72;
43;35/191;;;18,31,57;
44;139/212;;;31,32,58;
45;210/226;;;32,46,58,59,60;
46;275/206;1,13,74,79;1,34,58,78;33,45,47,61;
47;327/193;;;34,46,62;
48;408/229;;;34,35,62,63;
49;526/232;;;36,50,66;
50;577/198;;;37,38,49;
51;678/204;;;38,39,52,67,68;
52;731/191;;13,41,67,86;39,40,51,69;
53;789/225;;;40,54,69;
54;829/213;;;41,53,55,70;
55;919/210;;29,89;54,71;
56;1039/220;;;42,91;
57;65/231;;;43,58,73;
58;166/242;;1,46,74,77;44,45,57,59,74,75;
59;187/268;;;45,58,75,76;
60;226/261;;;45,61,76;
61;293/270;;;46,60,62,76,78;
62;329/257;;;47,48,61,79;
63;416/303;;34,65,79,100;48,64,79,80;
64;469/293;;;63,65,81;
65;523/281;;22,63,67,82;35,64,66,82;
66;559/273;;;49,65,67,82;
67;616/263;13,79,89,111;23,52,65,82,102;51,66,68,84;
68;688/248;;;51,67,69,85;
69;753/242;;;52,53,68,86;
70;835/258;;;54,71,87;
